,Zip Code,Population 16 years and over,Population 16 years and over AGE,Population 16 years and over AGE 16 to 19 years,Population 16 years and over AGE 20 to 24 years,Population 16 years and over AGE 25 to 29 years,Population 16 years and over AGE 30 to 34 years,Population 16 years and over AGE 35 to 44 years,Population 16 years and over AGE 45 to 54 years,Population 16 years and over AGE 55 to 59 years,Population 16 years and over AGE 60 to 64 years,Population 16 years and over AGE 65 to 74 years,Population 16 years and over AGE 75 years and over,Population 16 years and over RACE AND HISPANIC OR LATINO ORIGIN,Population 16 years and over RACE AND HISPANIC OR LATINO ORIGIN White alone,Population 16 years and over RACE AND HISPANIC OR LATINO ORIGIN Black or African American alone,Population 16 years and over RACE AND HISPANIC OR LATINO ORIGIN American Indian and Alaska Native alone,Population 16 years and over RACE AND HISPANIC OR LATINO ORIGIN Asian alone,Population 16 years and over RACE AND HISPANIC OR LATINO ORIGIN Native Hawaiian and Other Pacific Islander alone,Population 16 years and over RACE AND HISPANIC OR LATINO ORIGIN Some other race alone,Population 16 years and over RACE AND HISPANIC OR LATINO ORIGIN Two or more races,Population 16 years and over RACE AND HISPANIC OR LATINO ORIGIN Hispanic or Latino origin (of any race),"Population 16 years and over RACE AND HISPANIC OR LATINO ORIGIN White alone, not Hispanic or Latino",Population 20 to 64 years,Population 20 to 64 years SEX,Population 20 to 64 years SEX Male,Population 20 to 64 years SEX Female,Population 20 to 64 years SEX Female With own children under 18 years,Population 20 to 64 years SEX Female With own children under 18 years With own children under 6 years only,Population 20 to 64 years SEX Female With own children under 18 years With own children under 6 years and 6 to 17  years,Population 20 to 64 years SEX Female With own children under 18 years With own children 6 to 17 years only,Population 20 to 64 years POVERTY STATUS IN THE PAST 12 MONTHS,Population 20 to 64 years POVERTY STATUS IN THE PAST 12 MONTHS Below poverty level,Population 20 to 64 years POVERTY STATUS IN THE PAST 12 MONTHS At or above the poverty level,Population 20 to 64 years DISABILITY STATUS,Population 20 to 64 years DISABILITY STATUS With any disability,EDUCATIONAL ATTAINMENT,EDUCATIONAL ATTAINMENT Population 25 to 64 years,EDUCATIONAL ATTAINMENT Population 25 to 64 years Less than high school graduate,EDUCATIONAL ATTAINMENT Population 25 to 64 years High school graduate (includes equivalency),EDUCATIONAL ATTAINMENT Population 25 to 64 years Some college or associate's degree,EDUCATIONAL ATTAINMENT Population 25 to 64 years Bachelor's degree or higher
34,78731,"23,217",,690,"1,580","3,000","2,497","3,445","3,037","1,854","2,213","2,394","2,507",,"19,887",253,53,"2,044",0,289,691,"2,463","18,086","17,626",,"9,106","8,520","2,790",750,377,"1,663",,"1,854","15,772",,632,,"16,046",227,690,"2,155","12,974"
35,78732,"13,760",,"1,479","1,342",185,909,"2,754","4,305",756,668,699,663,,"11,812",321,0,"1,178",0,5,444,"1,762","10,425","10,919",,"5,030","5,889","3,074",500,365,"2,209",,526,"10,388",,127,,"9,577",131,359,"1,780","7,307"
36,78733,"6,175",,497,87,175,128,"1,329","1,590",719,416,984,250,,"4,960",77,0,812,16,81,229,498,"4,657","4,444",,"2,092","2,352","1,380",103,263,"1,014",,112,"4,332",,217,,"4,357",52,167,811,"3,327"
37,78734,"15,953",,753,388,771,845,"2,569","3,410","1,794","1,662","2,550","1,211",,"14,304",257,37,349,0,144,862,"1,990","12,983","11,439",,"5,679","5,760","2,278",411,387,"1,480",,648,"10,783",,622,,"11,051",398,"1,048","2,951","6,654"
38,78735,"14,426",,725,687,"1,454","1,767","2,537","2,413",931,"1,098","1,734","1,080",,"11,967",548,55,"1,286",0,188,382,"2,435","9,937","10,887",,"5,112","5,775","2,055",564,375,"1,116",,883,"10,003",,420,,"10,200",505,806,"2,071","6,818"
39,78736,"8,312",,395,630,835,585,"1,434","1,685",696,778,822,452,,"7,807",74,15,217,0,76,123,"1,833","6,145","6,643",,"3,337","3,306","1,073",291,124,658,,683,"5,957",,386,,"6,013",128,834,"1,855","3,196"
40,78737,"14,049",,890,464,334,793,"3,983","3,183",981,943,"1,501",977,,"12,050",259,26,540,0,205,969,"2,051","10,904","10,681",,"5,677","5,004","2,864",527,693,"1,644",,349,"10,332",,387,,"10,217",119,"1,030","2,427","6,641"
41,78738,"11,924",,533,298,492,"1,058","2,365","2,259","1,022","1,102","1,975",820,,"9,977",147,19,"1,273",0,142,366,"1,388","8,982","8,596",,"4,143","4,453","1,973",341,251,"1,381",,380,"8,216",,385,,"8,298",107,535,"1,611","6,045"
42,78739,"14,814",,686,404,586,"1,203","4,078","3,598","1,052","1,183","1,282",742,,"12,095",291,13,"1,749",0,337,329,"1,898","10,645","12,104",,"6,048","6,056","3,504",861,442,"2,201",,205,"11,899",,389,,"11,700",61,489,"1,560","9,590"
43,78741,"40,842",,"1,968","7,317","9,213","6,466","6,380","4,062","1,784","1,472","1,452",728,,"26,729","4,832",403,"1,918",57,"4,469","2,434","18,497","14,687","36,694",,"20,880","15,814","3,538",771,"1,011","1,756",,"6,994","29,700",,"3,974",,"29,377","5,010","5,753","6,782","11,832"
44,78742,649,,51,47,96,42,67,97,61,58,51,79,,360,104,0,0,0,109,76,345,182,468,,205,263,56,7,0,49,,50,418,,55,,421,164,104,132,21
45,78744,"36,665",,"2,670","3,267","4,865","4,911","8,168","6,007","2,027","1,657","1,684","1,409",,"22,675","3,601",277,650,8,"7,152","2,302","24,654","7,626","30,902",,"15,629","15,273","6,092","1,680","1,306","3,106",,"3,085","27,817",,"3,041",,"27,635","7,378","7,106","6,606","6,545"
46,78745,"53,756",,"1,163","3,719","8,128","6,630","11,026","6,991","4,450","3,582","5,547","2,520",,"44,809","1,929",420,"1,421",0,"2,551","2,626","20,025","29,305","44,526",,"23,231","21,295","5,270","1,876","1,172","2,222",,"4,604","39,905",,"2,793",,"40,807","3,364","6,630","11,116","19,697"
47,78746,"21,867",,"1,768",910,"1,523","1,258","3,632","4,686","2,077","1,806","2,623","1,584",,"19,311",328,9,"1,470",0,391,358,"3,030","16,788","15,892",,"7,616","8,276","3,708",439,505,"2,764",,845,"15,026",,577,,"14,982",175,609,"1,768","12,430"
48,78747,"16,046",,"1,034","1,141","1,702","1,869","3,043","2,640","1,226","1,105","1,566",720,,"11,141",722,184,629,24,"2,952",394,"8,563","5,751","12,726",,"6,828","5,898","2,251",538,404,"1,309",,482,"12,244",,838,,"11,585","1,310","2,528","3,561","4,186"
49,78748,"42,033",,"1,795","2,485","5,409","6,012","9,689","6,192","3,100","2,554","3,319","1,478",,"34,283","2,279",188,"2,139",0,869,"2,275","14,397","22,011","35,441",,"17,612","17,829","5,166","1,660",990,"2,516",,"2,591","32,828",,"1,829",,"32,956","1,655","4,488","9,746","17,067"
50,78749,"31,339",,"1,302","1,488","2,302","3,550","6,217","6,248","2,527","2,863","3,611","1,231",,"23,799","1,071",34,"3,671",0,878,"1,886","6,582","18,629","25,195",,"12,007","13,188","4,324","1,047",626,"2,651",,999,"24,186",,"1,240",,"23,707",507,"1,913","5,060","16,227"
51,78750,"26,624",,"1,189","1,265","2,411","3,070","5,839","4,432","2,190","1,601","3,032","1,595",,"18,598","1,765",135,"3,806",5,591,"1,724","3,937","16,070","20,808",,"10,333","10,475","3,928",734,769,"2,425",,"1,204","19,595",,"1,275",,"19,543",744,"1,855","5,123","11,821"
52,78751,"15,217",,303,"2,437","4,712","2,350","2,269","1,385",499,400,627,235,,"11,797",504,78,"1,153",52,608,"1,025","3,116","10,105","14,052",,"7,490","6,562",602,220,34,348,,"2,672","11,362",,953,,"11,615",108,905,"1,931","8,671"
53,78752,"17,285",,875,"1,849","3,129","2,409","3,211","2,124","1,366",465,"1,038",819,,"9,226","2,107",708,887,74,"2,214","2,069","8,004","5,666","14,553",,"8,201","6,352","1,721",663,294,764,,"2,306","12,247",,"1,699",,"12,704","2,182","1,981","2,964","5,577"
54,78753,"46,272",,"2,659","3,516","6,336","7,538","10,094","6,346","3,116","2,371","2,858","1,438",,"26,025","7,134","1,088","3,892",0,"6,060","2,073","22,624","11,679","39,317",,"21,496","17,821","6,149","1,559","1,525","3,065",,"5,181","34,096",,"4,461",,"35,801","8,032","9,260","8,841","9,668"
55,78754,"20,236",,"1,026","1,660","2,503","2,799","5,091","2,637",929,"1,161","1,522",908,,"10,717","2,588",145,"3,310",62,"2,681",733,"7,621","6,281","16,780",,"8,218","8,562","3,123",997,899,"1,227",,"1,491","15,289",,"1,054",,"15,120","2,095","3,023","3,653","6,349"
56,78756,"8,463",,510,497,"1,409","1,512","1,648","1,027",411,486,524,439,,"6,735",403,23,461,0,75,766,"1,423","5,882","6,990",,"3,427","3,563",592,184,66,342,,835,"5,888",,529,,"6,493",125,389,944,"5,035"
57,78757,"20,960",,685,854,"2,248","2,901","4,519","3,680","1,165","1,737","1,751","1,420",,"16,930",532,0,599,0,"1,627","1,272","4,868","14,511","17,104",,"8,619","8,485","3,161",853,595,"1,713",,"1,292","15,799",,"1,050",,"16,250",938,"2,080","3,220","10,012"
58,78758,"40,475",,"1,966","3,246","6,545","7,256","7,901","5,318","2,398","2,185","2,352","1,308",,"25,483","3,919",394,"3,058",25,"5,211","2,385","16,543","16,463","34,849",,"18,264","16,585","4,789","1,533","1,082","2,174",,"5,230","29,573",,"3,045",,"31,603","4,786","5,898","7,205","13,714"
59,78759,"38,537",,"1,546","2,214","4,199","5,183","6,879","6,664","3,038","2,123","3,637","3,054",,"30,031",969,21,"4,062",14,707,"2,733","5,423","26,431","30,300",,"15,052","15,248","4,476","1,367",669,"2,440",,"1,570","28,706",,"2,071",,"28,086",358,"2,451","5,903","19,374"
60,"Travis County, Texas","1,009,464",,"61,459","82,079","126,937","124,868","200,678","159,942","69,259","61,196","79,626","43,420",,"714,838","83,097","6,226","70,933",617,"76,226","57,527","309,534","522,390","824,959",,"421,802","403,157","132,954","33,988","25,194","73,772",,"83,680","730,219",,"56,246",,"742,880","69,991","112,922","170,743","389,224"
