,Zip Code,Population 16 years and over,Population 16 years and over AGE,Population 16 years and over AGE 16 to 19 years,Population 16 years and over AGE 20 to 24 years,Population 16 years and over AGE 25 to 29 years,Population 16 years and over AGE 30 to 34 years,Population 16 years and over AGE 35 to 44 years,Population 16 years and over AGE 45 to 54 years,Population 16 years and over AGE 55 to 59 years,Population 16 years and over AGE 60 to 64 years,Population 16 years and over AGE 65 to 74 years,Population 16 years and over AGE 75 years and over,Population 16 years and over RACE AND HISPANIC OR LATINO ORIGIN,Population 16 years and over RACE AND HISPANIC OR LATINO ORIGIN White alone,Population 16 years and over RACE AND HISPANIC OR LATINO ORIGIN Black or African American alone,Population 16 years and over RACE AND HISPANIC OR LATINO ORIGIN American Indian and Alaska Native alone,Population 16 years and over RACE AND HISPANIC OR LATINO ORIGIN Asian alone,Population 16 years and over RACE AND HISPANIC OR LATINO ORIGIN Native Hawaiian and Other Pacific Islander alone,Population 16 years and over RACE AND HISPANIC OR LATINO ORIGIN Some other race alone,Population 16 years and over RACE AND HISPANIC OR LATINO ORIGIN Two or more races,Population 16 years and over RACE AND HISPANIC OR LATINO ORIGIN Hispanic or Latino origin (of any race),"Population 16 years and over RACE AND HISPANIC OR LATINO ORIGIN White alone, not Hispanic or Latino",Population 20 to 64 years,Population 20 to 64 years SEX,Population 20 to 64 years SEX Male,Population 20 to 64 years SEX Female,Population 20 to 64 years SEX Female With own children under 18 years,Population 20 to 64 years SEX Female With own children under 18 years With own children under 6 years only,Population 20 to 64 years SEX Female With own children under 18 years With own children under 6 years and 6 to 17  years,Population 20 to 64 years SEX Female With own children under 18 years With own children 6 to 17 years only,Population 20 to 64 years POVERTY STATUS IN THE PAST 12 MONTHS,Population 20 to 64 years POVERTY STATUS IN THE PAST 12 MONTHS Below poverty level,Population 20 to 64 years POVERTY STATUS IN THE PAST 12 MONTHS At or above the poverty level,Population 20 to 64 years DISABILITY STATUS,Population 20 to 64 years DISABILITY STATUS With any disability,EDUCATIONAL ATTAINMENT,EDUCATIONAL ATTAINMENT Population 25 to 64 years,EDUCATIONAL ATTAINMENT Population 25 to 64 years Less than high school graduate,EDUCATIONAL ATTAINMENT Population 25 to 64 years High school graduate (includes equivalency),EDUCATIONAL ATTAINMENT Population 25 to 64 years Some college or associate's degree,EDUCATIONAL ATTAINMENT Population 25 to 64 years Bachelor's degree or higher
44,78742,11.5,,36.6,36.4,11.5,53.8,42.6,33.0,33.3,16.5,23.8,39.3,,11.6,30.3,**,**,**,15.5,16.0,12.3,17.2,9.4,,15.4,10.1,46.6,100.0,**,49.9,,38.8,7.1,,37.7,,10.7,24.9,10.1,28.2,50.5
45,78744,1.9,,8.2,4.5,4.7,4.5,3.2,4.0,6.7,12.0,10.6,22.5,,2.7,7.0,15.0,10.9,100.0,4.2,7.9,2.5,3.9,1.8,,2.2,2.9,5.3,10.2,9.8,7.0,,7.3,1.7,,8.9,,1.9,3.9,5.3,3.5,2.8
46,78745,1.6,,9.9,11.5,2.5,2.9,2.5,3.5,9.2,5.6,6.7,2.1,,1.6,10.0,6.6,10.1,**,14.3,8.7,3.2,2.0,1.7,,2.1,2.8,5.5,8.7,11.3,9.1,,4.6,2.0,,7.6,,1.5,9.8,4.2,2.7,1.9
47,78746,2.7,,8.8,13.0,6.0,2.1,4.1,5.1,6.6,6.5,5.2,3.5,,2.8,16.8,62.2,7.4,**,13.8,12.0,6.7,2.9,2.6,,2.4,4.1,5.5,12.9,13.3,6.1,,12.9,2.5,,10.7,,2.6,16.8,19.0,6.9,2.4
48,78747,3.6,,17.0,13.3,4.6,5.4,4.6,9.2,13.9,13.2,10.0,5.8,,4.2,15.2,18.3,14.6,71.2,8.1,15.0,4.6,5.9,3.8,,4.8,5.5,6.5,13.6,19.7,5.8,,15.5,3.9,,15.3,,3.5,5.5,8.6,8.5,5.1
49,78748,1.9,,12.2,8.9,5.8,5.8,2.2,2.9,7.9,8.5,5.8,8.8,,2.2,10.7,11.7,9.5,**,8.9,5.0,4.3,2.8,2.1,,2.3,2.7,6.0,14.0,11.8,6.7,,13.7,1.9,,9.2,,2.2,8.8,4.8,2.9,3.3
50,78749,2.6,,13.1,9.9,2.5,9.5,3.5,5.0,3.6,8.0,6.6,5.0,,3.4,13.4,57.8,6.4,**,16.0,12.3,4.4,3.6,2.0,,2.9,3.2,5.2,12.5,12.3,5.8,,13.2,2.0,,12.6,,2.2,18.2,8.4,7.1,2.6
51,78750,2.1,,10.2,7.4,3.4,3.3,2.9,3.7,13.8,8.7,6.4,4.8,,2.2,15.7,31.3,7.1,100.0,13.2,8.4,5.9,2.5,1.9,,1.8,3.1,4.4,12.8,9.9,6.4,,10.1,2.0,,10.7,,2.0,16.8,7.4,3.2,3.0
52,78751,3.2,,20.0,8.6,6.8,3.9,3.5,7.6,8.7,13.9,14.1,17.2,,2.5,16.0,39.5,20.4,45.2,17.1,5.8,6.3,2.5,3.3,,4.9,3.2,12.8,22.4,59.8,17.2,,12.1,1.7,,13.0,,3.5,35.1,11.8,3.6,4.2
53,78752,3.2,,11.1,4.8,4.0,3.5,4.0,8.6,20.0,19.0,14.7,13.7,,3.2,14.8,10.6,11.8,38.7,6.6,11.2,4.6,3.8,2.9,,4.6,3.4,8.4,14.0,26.4,12.1,,12.8,2.4,,16.5,,3.2,12.0,13.9,4.0,2.7
54,78753,2.0,,10.4,6.2,4.3,5.1,3.8,4.0,6.5,12.1,6.6,5.9,,2.8,5.2,12.9,8.7,**,4.2,11.6,2.9,4.1,1.9,,2.0,3.6,5.7,11.5,10.3,8.3,,5.7,2.0,,6.0,,2.1,4.6,4.8,4.0,3.5
55,78754,3.2,,16.1,6.3,8.9,5.7,5.2,5.9,7.3,13.0,21.7,3.1,,4.5,7.5,26.2,10.8,44.3,12.1,6.9,7.3,5.8,2.4,,2.3,4.4,9.6,17.1,14.1,16.9,,12.6,2.3,,12.1,,2.6,8.0,6.1,6.0,4.0
56,78756,3.1,,12.4,11.9,3.0,3.3,5.2,8.1,10.7,14.8,12.4,8.1,,3.1,16.2,56.5,8.5,**,50.2,10.2,8.0,3.4,2.7,,3.9,3.7,9.5,8.6,31.8,12.4,,17.2,2.5,,15.4,,2.8,29.9,19.9,7.4,2.2
57,78757,3.6,,12.1,9.9,6.9,4.1,4.2,6.3,16.4,14.3,7.7,3.1,,3.8,17.0,**,26.4,**,9.5,11.4,5.1,4.2,2.6,,2.7,4.8,8.8,9.6,17.3,14.3,,12.2,2.7,,13.0,,2.7,14.9,10.4,5.4,2.8
58,78758,1.8,,11.3,5.0,4.2,3.5,4.0,4.4,5.5,10.0,9.2,4.4,,2.0,6.9,17.1,7.2,69.8,6.6,10.9,2.9,2.4,1.9,,1.9,3.5,7.5,11.4,16.1,8.1,,8.5,1.6,,8.6,,2.0,7.2,5.6,3.8,2.3
59,78759,2.0,,8.9,3.3,3.1,3.2,2.7,4.1,5.8,5.6,6.7,2.7,,1.9,13.6,76.1,5.3,93.3,6.5,14.1,4.8,2.1,1.5,,1.5,2.5,4.7,11.4,17.0,5.5,,10.5,1.5,,7.8,,1.6,16.2,10.8,3.9,1.8
60,"Travis County, Texas",0.4,,1.8,1.5,1.0,0.9,0.7,0.9,1.6,1.5,1.4,1.2,,0.4,1.5,4.1,1.5,12.3,1.4,1.9,0.7,0.4,0.4,,0.5,0.6,1.0,1.9,2.6,1.5,,1.9,0.3,,1.9,,0.4,2.1,1.3,0.9,0.5
