,Zip Code,Total ,Male ,Male Under 5 years,Male 5 to 9 years,Male 10 to 14 years,Male 15 to 17 years,Male 18 and 19 years,Male 20 years,Male 21 years,Male 22 to 24 years,Male 25 to 29 years,Male 30 to 34 years,Male 35 to 39 years,Male 40 to 44 years,Male 45 to 49 years,Male 50 to 54 years,Male 55 to 59 years,Male 60 and 61 years,Male 62 to 64 years,Male 65 and 66 years,Male 67 to 69 years,Male 70 to 74 years,Male 75 to 79 years,Male 80 to 84 years,Male 85 years and over,Female ,Female Under 5 years,Female 5 to 9 years,Female 10 to 14 years,Female 15 to 17 years,Female 18 and 19 years,Female 20 years,Female 21 years,Female 22 to 24 years,Female 25 to 29 years,Female 30 to 34 years,Female 35 to 39 years,Female 40 to 44 years,Female 45 to 49 years,Female 50 to 54 years,Female 55 to 59 years,Female 60 and 61 years,Female 62 to 64 years,Female 65 and 66 years,Female 67 to 69 years,Female 70 to 74 years,Female 75 to 79 years,Female 80 to 84 years,Female 85 years and over
90,78744,"48,551","23,881","1,576","1,764","2,047",800,746,348,228,"1,095","2,292","2,427","2,410","1,781","1,456","1,647","1,006",424,515,359,243,204,224,252,37,"24,670","1,839","1,904","1,910","1,400",570,354,284,958,"2,573","2,484","2,086","1,891","1,539","1,365","1,021",131,587,212,316,350,593,172,131
92,78745,"63,287","31,999","1,750","1,399","1,463",347,236,225,88,"1,297","4,159","3,309","3,598","2,435","2,380","1,311","2,361","1,026","1,042",730,609,"1,066",530,335,303,"31,288","2,147","1,217","1,249",479,407,125,458,"1,526","3,969","3,321","2,535","2,458","1,760","1,540","2,089",574,940,691,851,"1,600",603,318,431
94,78746,"27,671","13,352",544,930,"1,167",740,279,70,117,269,679,602,783,931,"1,377",896,"1,001",273,618,257,434,607,397,256,125,"14,319",569,816,"1,222",917,388,97,38,319,844,656,804,"1,114","1,402","1,011","1,076",419,496,378,414,533,376,192,238
96,78747,"20,137","10,218",515,634,696,467,125,203,102,481,931,980,803,804,"1,039",327,619,196,343,70,330,249,146,38,120,"9,919",661,924,493,400,210,35,33,287,771,889,686,750,856,418,607,207,359,225,358,334,130,96,190
98,78748,"52,076","25,920","2,420","1,501","1,086",784,275,216,261,912,"2,144","3,473","2,700","2,167","1,813","1,221","1,365",806,534,502,528,432,439,175,166,"26,156","1,808","1,501","1,161",911,391,148,30,918,"3,265","2,539","2,917","1,905","1,788","1,370","1,735",618,596,463,604,790,348,118,232
100,78749,"38,503","18,347",951,"1,205","1,124",628,353,132,139,455,852,"2,070","1,561","1,644","1,320","1,707",933,437,757,314,809,459,315,145,37,"20,156",936,"1,113","1,539",444,173,167,67,528,"1,450","1,480","1,518","1,494","1,432","1,789","1,594",445,"1,224",513,801,715,277,152,305
102,78750,"33,860","16,817",731,"1,253","1,513",703,209,117,27,446,"1,361","1,634","1,526","1,556","1,180",730,"1,102",254,400,365,408,610,362,114,216,"17,043","1,166",992,"1,166",522,170,69,182,424,"1,050","1,436","1,322","1,435","1,220","1,302","1,088",382,565,399,677,573,414,247,242
104,78751,"16,138","8,649",151,103,199,104,71,27,271,906,"2,498","1,234",852,536,462,276,232,53,143,97,165,149,35,9,76,"7,489",232,50,123,84,107,174,226,833,"2,214","1,116",575,306,319,328,267,79,125,22,55,139,68,0,47
106,78752,"20,779","11,785","1,107",454,594,459,193,32,346,471,"1,885","1,261","1,090",763,561,556,935,109,192,104,192,228,118,82,53,"8,994",451,276,337,279,219,19,413,568,"1,244","1,148",690,668,576,431,431,43,121,125,174,215,260,230,76
108,78753,"60,035","31,835","2,556","2,254","2,087",976,806,441,416,"1,094","3,634","4,380","2,649","3,119","1,645","1,483","1,688",289,658,175,339,652,271,35,188,"28,200","1,905","2,090","2,353",883,512,243,307,"1,015","2,702","3,158","2,362","1,964","1,595","1,623","1,428",453,971,587,537,568,463,210,271
110,78754,"26,508","13,237","1,277","1,246","1,004",180,177,94,92,560,"1,038","1,376","1,727","1,117",595,656,419,242,302,67,528,177,78,188,97,"13,271","1,201",816,514,683,200,141,58,715,"1,465","1,423","1,061","1,186",651,735,510,275,342,332,165,253,282,29,234
112,78756,"9,450","4,558",188,68,155,54,247,72,28,134,546,814,618,374,319,174,165,70,113,140,30,151,62,9,27,"4,892",92,259,179,85,170,42,45,176,863,698,420,236,279,255,246,212,91,57,67,79,127,29,185
114,78757,"26,485","12,514","1,020",580,728,378,67,109,204,203,"1,022","1,328","1,471",946,"1,232",733,720,228,423,238,309,312,116,75,72,"13,971",643,817,"1,169",667,141,36,36,266,"1,226","1,573","1,253",849,859,856,445,463,623,239,302,351,218,372,567
116,78758,"50,575","25,176","1,950",989,"1,246",758,548,89,157,"1,374","3,214","3,957","2,376","1,684","1,270","1,683","1,357",532,571,250,352,310,237,157,115,"25,399","2,273","1,709","1,580",521,492,125,155,"1,346","3,331","3,299","1,910","1,931","1,188","1,177","1,041",426,656,404,388,648,316,168,315
118,78759,"45,901","23,282","1,567","1,156","1,234",693,533,136,102,918,"2,004","2,315","1,976","1,545","1,928","1,718","1,514",243,653,410,593,682,595,366,401,"22,619","1,073","1,041",954,498,161,61,39,958,"2,195","2,868","1,923","1,435","1,430","1,588","1,524",463,764,413,605,934,657,359,676
120,"Travis County, Texas","1,250,884","631,786","39,799","37,462","39,406","21,514","16,206","8,349","7,899","25,090","65,451","65,236","55,810","48,371","44,285","37,497","34,932","12,201","16,681","8,986","13,575","15,075","8,618","4,786","4,557","619,098","37,921","35,653","37,777","21,111","16,030","8,027","8,032","24,682","61,486","59,632","50,400","46,097","41,783","36,377","34,327","13,387","18,927","10,551","13,902","17,537","10,314","6,072","9,073"
