,Zip Code,Population 3 years and over enrolled in school,"Population 3 years and over enrolled in school!!Nursery school, preschool",Population 3 years and over enrolled in school!!Kindergarten to 12th grade,Population 3 years and over enrolled in school!!Kindergarten to 12th grade!!Kindergarten,Population 3 years and over enrolled in school!!Kindergarten to 12th grade!!Elementary: grade 1 to grade 4,Population 3 years and over enrolled in school!!Kindergarten to 12th grade!!Elementary: grade 5 to grade 8,Population 3 years and over enrolled in school!!Kindergarten to 12th grade!!High school: grade 9 to grade 12,"Population 3 years and over enrolled in school!!College, undergraduate","Population 3 years and over enrolled in school!!Graduate, professional school",Population enrolled in college or graduate school,Population enrolled in college or graduate school!!Males enrolled in college or graduate school,Population enrolled in college or graduate school!!Females enrolled in college or graduate school,Population 3 to 4 years,Population 3 to 4 years!!3 to 4 year olds enrolled in school,Population 5 to 9 years,Population 5 to 9 years!!5 to 9 year olds enrolled in school,Population 10 to 14 years,Population 10 to 14 years!!10 to 14 year olds enrolled in school,Population 15 to 17,Population 15 to 17!!15 to 17 year olds enrolled in school,Population 18 to 19 years,Population 18 to 19 years!!18 and 19 year olds enrolled in school,Population 20 to 24 years,Population 20 to 24 years!!20 to 24 year olds enrolled in school,Population 25 to 34 years,Population 25 to 34 years!!25 to 34 year olds enrolled in school,Population 35 years and over,Population 35 years and over!!35 years and over enrolled in school,Population 18 to 24 years,Population 18 to 24 years!!Enrolled in college or graduate school,Population 18 to 24 years!!Males 18 to 24 years,Population 18 to 24 years!!Males 18 to 24 years!!Enrolled in college or graduate school,Population 18 to 24 years!!Females 18 to 24 years,Population 18 to 24 years!!Females 18 to 24 years!!Enrolled in college or graduate school
43,78741,(X),1.6,4.6,1.7,3.0,3.1,2.6,5.1,2.9,4.7,7.2,6.7,(X),15.6,(X),5.8,(X),2.4,(X),13.6,(X),9.6,(X),6.3,(X),2.5,(X),1.1,(X),6.0,(X),8.3,(X),8.9
44,78742,(X),10.4,10.1,18.9,23.0,18.9,25.1,2.9,18.9,2.9,48.4,4.1,(X),61.7,(X),9.8,(X),48.9,(X),38.8,(X),40.7,(X),50.9,(X),27.2,(X),5.6,(X),44.0,(X),64.8,(X),59.8
45,78744,(X),2.0,4.1,3.9,4.0,6.4,3.9,2.5,1.9,3.3,4.8,4.0,(X),12.0,(X),0.7,(X),2.7,(X),5.1,(X),12.9,(X),5.9,(X),2.4,(X),0.8,(X),4.7,(X),6.5,(X),6.4
46,78745,(X),4.3,4.9,2.3,3.0,3.9,3.2,4.8,2.3,4.8,7.7,5.3,(X),15.6,(X),3.2,(X),3.2,(X),5.7,(X),13.9,(X),10.6,(X),2.3,(X),1.0,(X),9.4,(X),17.5,(X),8.2
47,78746,(X),1.7,3.2,1.4,2.4,3.6,3.5,2.4,1.4,2.9,4.5,3.9,(X),12.2,(X),1.8,(X),1.1,(X),2.0,(X),3.5,(X),11.0,(X),3.7,(X),0.7,(X),9.3,(X),13.9,(X),12.3
48,78747,(X),1.9,7.4,2.5,5.5,4.3,4.6,6.9,1.8,7.2,10.1,7.7,(X),18.5,(X),2.6,(X),2.9,(X),5.1,(X),8.3,(X),17.9,(X),4.8,(X),1.8,(X),14.2,(X),16.7,(X),16.4
49,78748,(X),4.1,5.1,3.1,3.5,3.5,4.1,4.1,4.5,5.5,6.5,7.9,(X),14.0,(X),4.3,(X),4.6,(X),7.7,(X),16.4,(X),10.1,(X),4.7,(X),1.1,(X),9.7,(X),13.2,(X),12.5
50,78749,(X),2.7,5.4,1.8,4.6,5.4,4.6,3.9,1.9,4.5,6.3,5.9,(X),21.3,(X),3.4,(X),1.8,(X),1.4,(X),19.2,(X),7.5,(X),5.6,(X),1.0,(X),8.1,(X),8.8,(X),11.7
51,78750,(X),3.2,5.3,1.2,6.2,3.7,4.0,3.1,3.0,4.3,6.5,4.2,(X),20.3,(X),5.6,(X),1.7,(X),1.1,(X),15.3,(X),9.8,(X),3.2,(X),1.3,(X),8.2,(X),11.8,(X),12.1
52,78751,(X),0.7,4.3,0.2,2.2,2.6,2.4,5.8,7.0,4.3,6.3,4.6,(X),34.2,(X),18.6,(X),13.0,(X),21.1,(X),20.4,(X),8.8,(X),6.0,(X),1.8,(X),8.3,(X),10.0,(X),10.1
53,78752,(X),4.1,7.3,3.1,4.5,6.2,4.9,5.4,5.1,8.0,7.6,12.6,(X),22.2,(X),7.6,(X),4.7,(X),11.6,(X),24.6,(X),8.6,(X),5.9,(X),1.2,(X),7.5,(X),8.4,(X),11.2
54,78753,(X),1.9,3.8,1.5,3.0,3.6,2.7,2.9,2.2,3.5,5.1,4.5,(X),10.2,(X),3.3,(X),2.6,(X),4.7,(X),10.8,(X),7.9,(X),2.3,(X),0.8,(X),5.8,(X),7.0,(X),8.7
55,78754,(X),3.6,6.5,2.7,4.8,4.0,6.6,5.4,3.2,6.3,8.7,7.3,(X),16.6,(X),2.8,(X),6.3,(X),2.8,(X),24.1,(X),14.3,(X),4.4,(X),1.0,(X),12.2,(X),21.6,(X),13.8
56,78756,(X),1.9,6.9,2.5,4.7,3.9,4.2,5.2,5.2,6.3,8.7,10.7,(X),22.2,(X),3.8,(X),10.7,(X),27.1,(X),5.4,(X),12.6,(X),3.3,(X),1.2,(X),7.7,(X),12.3,(X),13.9
57,78757,(X),3.7,7.4,3.0,4.8,6.5,6.9,4.8,3.9,6.6,8.4,7.7,(X),15.6,(X),7.1,(X),9.0,(X),4.2,(X),25.6,(X),12.6,(X),5.4,(X),1.3,(X),12.2,(X),12.0,(X),19.5
58,78758,(X),1.7,6.1,2.0,3.8,4.1,3.6,4.6,3.2,5.8,7.5,7.5,(X),12.2,(X),1.1,(X),1.4,(X),3.5,(X),15.9,(X),11.2,(X),2.9,(X),1.1,(X),8.2,(X),10.7,(X),12.8
59,78759,(X),1.8,4.1,1.5,3.1,3.1,3.2,4.0,2.7,4.0,5.2,5.8,(X),14.0,(X),9.2,(X),1.2,(X),3.7,(X),11.8,(X),11.7,(X),2.5,(X),0.8,(X),9.7,(X),12.1,(X),13.7
60,"Travis County, Texas",(X),0.4,0.8,0.4,0.6,0.8,0.4,0.7,0.5,0.7,0.9,0.9,(X),3.5,(X),0.8,(X),0.6,(X),0.9,(X),1.9,(X),2.2,(X),0.7,(X),0.2,(X),1.8,(X),2.2,(X),2.6
