"Label (Grouping)","Total:","Total:!!Male:","Total:!!Male:!!Under 5 years","Total:!!Male:!!5 to 9 years","Total:!!Male:!!10 to 14 years","Total:!!Male:!!15 to 17 years","Total:!!Male:!!18 and 19 years","Total:!!Male:!!20 years","Total:!!Male:!!21 years","Total:!!Male:!!22 to 24 years","Total:!!Male:!!25 to 29 years","Total:!!Male:!!30 to 34 years","Total:!!Male:!!35 to 39 years","Total:!!Male:!!40 to 44 years","Total:!!Male:!!45 to 49 years","Total:!!Male:!!50 to 54 years","Total:!!Male:!!55 to 59 years","Total:!!Male:!!60 and 61 years","Total:!!Male:!!62 to 64 years","Total:!!Male:!!65 and 66 years","Total:!!Male:!!67 to 69 years","Total:!!Male:!!70 to 74 years","Total:!!Male:!!75 to 79 years","Total:!!Male:!!80 to 84 years","Total:!!Male:!!85 years and over","Total:!!Female:","Total:!!Female:!!Under 5 years","Total:!!Female:!!5 to 9 years","Total:!!Female:!!10 to 14 years","Total:!!Female:!!15 to 17 years","Total:!!Female:!!18 and 19 years","Total:!!Female:!!20 years","Total:!!Female:!!21 years","Total:!!Female:!!22 to 24 years","Total:!!Female:!!25 to 29 years","Total:!!Female:!!30 to 34 years","Total:!!Female:!!35 to 39 years","Total:!!Female:!!40 to 44 years","Total:!!Female:!!45 to 49 years","Total:!!Female:!!50 to 54 years","Total:!!Female:!!55 to 59 years","Total:!!Female:!!60 and 61 years","Total:!!Female:!!62 to 64 years","Total:!!Female:!!65 and 66 years","Total:!!Female:!!67 to 69 years","Total:!!Female:!!70 to 74 years","Total:!!Female:!!75 to 79 years","Total:!!Female:!!80 to 84 years","Total:!!Female:!!85 years and over"
"    Estimate","18,535","8,904","511","568","1,081","899","57","75","72","36","64","526","666","805","1,143","744","591","193","115","75","220","81","191","69","122","9,631","737","529","1,120","678","74","270","0","889","121","383","535","748","1,253","1,165","165","170","190","31","120","172","95","80","106"
"    Margin of Error","±2,571","±1,224","±218","±261","±366","±450","±53","±75","±55","±46","±68","±341","±269","±199","±482","±252","±226","±130","±92","±65","±134","±72","±102","±106","±113","±1,656","±299","±235","±395","±212","±66","±409","±22","±1,080","±107","±198","±217","±209","±496","±328","±112","±121","±122","±49","±85","±121","±67","±59","±106"
"ZCTA5 78733","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","8,711","4,481","373","422","535","347","107","8","0","45","75","86","216","255","588","297","363","67","92","88","143","209","134","31","0","4,230","85","434","464","215","51","22","0","12","100","42","230","628","387","318","356","125","132","120","142","282","19","0","66"
"    Margin of Error","±997","±479","±171","±170","±155","±122","±65","±13","±20","±40","±65","±55","±143","±78","±172","±122","±127","±46","±57","±49","±65","±117","±108","±35","±20","±625","±57","±182","±231","±75","±39","±31","±20","±16","±74","±39","±93","±210","±122","±92","±151","±66","±67","±61","±68","±161","±19","±20","±57"
"ZCTA5 78734","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","19,711","9,868","340","595","950","273","188","50","0","152","372","468","534","588","789","866","1,058","249","553","158","394","648","332","132","179","9,843","387","762","459","506","51","24","69","93","399","377","602","845","862","893","736","392","468","241","518","591","251","179","138"
"    Margin of Error","±1,183","±735","±171","±177","±218","±106","±141","±46","±22","±87","±217","±262","±171","±170","±217","±209","±318","±89","±140","±68","±170","±165","±105","±61","±104","±703","±214","±197","±144","±192","±51","±19","±97","±52","±210","±135","±249","±237","±228","±184","±205","±179","±141","±93","±129","±170","±84","±105","±68"
"ZCTA5 78735","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","18,211","8,614","547","805","472","383","104","81","19","303","778","734","640","504","668","561","476","91","257","219","253","372","186","59","102","9,597","666","743","368","244","178","4","19","261","676","1,033","905","488","662","522","455","192","558","164","346","380","173","294","266"
"    Margin of Error","±1,408","±829","±229","±286","±187","±170","±70","±55","±24","±234","±260","±267","±208","±187","±200","±164","±150","±52","±90","±163","±133","±151","±95","±46","±47","±751","±239","±289","±148","±125","±119","±6","±21","±113","±187","±255","±267","±166","±217","±194","±158","±94","±203","±100","±161","±108","±107","±111","±115"
"ZCTA5 78736","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","10,010","4,925","212","257","444","90","77","0","121","75","385","404","243","454","232","703","368","183","169","41","140","143","42","54","88","5,085","196","182","325","125","185","0","234","200","450","181","287","450","223","527","328","243","183","141","141","216","81","108","79"
"    Margin of Error","±1,265","±706","±114","±132","±248","±57","±102","±22","±123","±64","±230","±192","±164","±141","±125","±345","±167","±93","±85","±39","±66","±94","±40","±49","±77","±768","±140","±81","±157","±71","±181","±22","±285","±120","±308","±100","±130","±130","±104","±284","±163","±113","±109","±93","±61","±134","±59","±71","±55"
"ZCTA5 78737","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","20,609","10,689","698","1,244","1,144","418","332","162","22","72","224","432","866","1,153","1,224","658","469","182","213","109","248","336","281","50","152","9,920","602","1,534","822","654","2","32","51","125","110","361","1,035","929","769","532","512","169","379","148","241","419","219","78","197"
"    Margin of Error","±1,969","±1,149","±202","±543","±254","±146","±224","±159","±21","±54","±145","±155","±413","±290","±268","±183","±157","±109","±91","±60","±74","±125","±125","±43","±105","±1,002","±261","±598","±198","±250","±3","±24","±76","±119","±80","±154","±332","±173","±185","±135","±180","±72","±189","±61","±93","±143","±77","±53","±118"
"ZCTA5 78738","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","15,090","7,592","326","526","799","369","76","5","21","100","213","507","628","646","469","534","509","160","351","138","463","402","140","106","104","7,498","236","389","567","330","81","50","9","113","279","551","598","493","555","701","513","224","367","179","447","346","217","123","130"
"    Margin of Error","±740","±466","±90","±162","±248","±119","±43","±9","±25","±62","±109","±415","±221","±155","±128","±110","±160","±77","±154","±56","±262","±123","±53","±59","±91","±514","±119","±125","±148","±113","±65","±56","±14","±77","±145","±189","±185","±134","±147","±205","±155","±113","±220","±78","±227","±97","±110","±60","±64"
"ZCTA5 78739","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","20,631","10,702","959","1,222","845","483","107","118","58","143","205","573","747","1,293","961","918","451","247","334","103","260","412","139","72","52","9,929","648","1,036","705","459","39","11","22","52","381","630","970","1,068","912","807","601","196","406","79","207","221","116","130","233"
"    Margin of Error","±1,440","±858","±379","±290","±201","±151","±71","±57","±69","±102","±108","±217","±190","±310","±227","±212","±140","±117","±148","±65","±127","±167","±65","±44","±57","±829","±208","±218","±290","±166","±55","±19","±25","±46","±151","±182","±290","±232","±283","±204","±169","±85","±232","±59","±89","±88","±60","±58","±96"
"ZCTA5 78741","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","47,529","25,906","907","1,004","911","526","685","704","561","2,669","5,458","3,850","2,384","1,339","1,270","906","922","240","577","189","323","271","75","65","70","21,623","1,644","1,124","902","498","454","605","863","1,915","3,755","2,616","1,524","1,133","1,179","707","862","241","414","182","244","243","197","97","224"
"    Margin of Error","±2,277","±1,890","±256","±280","±307","±268","±248","±359","±265","±415","±685","±827","±410","±422","±336","±294","±312","±101","±287","±105","±176","±117","±52","±49","±49","±1,368","±434","±313","±262","±172","±190","±289","±275","±396","±558","±401","±308","±424","±358","±208","±285","±104","±223","±95","±165","±153","±76","±63","±164"
"ZCTA5 78742","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","888","340","15","19","19","14","13","0","0","16","6","37","0","27","27","4","57","17","14","0","27","10","6","12","0","548","53","55","32","67","3","0","0","31","90","5","19","21","45","21","4","5","22","6","8","0","18","15","28"
"    Margin of Error","±371","±116","±20","±22","±15","±12","±21","±14","±14","±22","±8","±50","±14","±31","±29","±7","±66","±28","±23","±14","±15","±16","±11","±14","±14","±271","±53","±63","±35","±78","±5","±14","±14","±32","±81","±7","±30","±27","±62","±17","±6","±10","±20","±12","±13","±14","±14","±18","±33"
"ZCTA5 78744","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","48,551","23,881","1,576","1,764","2,047","800","746","348","228","1,095","2,292","2,427","2,410","1,781","1,456","1,647","1,006","424","515","359","243","204","224","252","37","24,670","1,839","1,904","1,910","1,400","570","354","284","958","2,573","2,484","2,086","1,891","1,539","1,365","1,021","131","587","212","316","350","593","172","131"
"    Margin of Error","±2,941","±1,588","±335","±415","±695","±216","±241","±143","±123","±293","±492","±524","±665","±363","±399","±399","±319","±158","±159","±206","±137","±89","±104","±104","±43","±1,865","±429","±679","±496","±433","±220","±152","±123","±197","±426","±419","±507","±429","±358","±302","±275","±79","±164","±112","±124","±116","±400","±88","±95"
"ZCTA5 78745","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","63,287","31,999","1,750","1,399","1,463","347","236","225","88","1,297","4,159","3,309","3,598","2,435","2,380","1,311","2,361","1,026","1,042","730","609","1,066","530","335","303","31,288","2,147","1,217","1,249","479","407","125","458","1,526","3,969","3,321","2,535","2,458","1,760","1,540","2,089","574","940","691","851","1,600","603","318","431"
"    Margin of Error","±3,118","±1,787","±507","±260","±357","±136","±130","±104","±57","±488","±657","±444","±561","±682","±436","±339","±516","±275","±323","±288","±170","±281","±168","±84","±106","±1,909","±582","±341","±313","±200","±159","±71","±199","±369","±636","±516","±363","±446","±354","±262","±515","±155","±192","±314","±202","±431","±186","±123","±138"
"ZCTA5 78746","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","27,671","13,352","544","930","1,167","740","279","70","117","269","679","602","783","931","1,377","896","1,001","273","618","257","434","607","397","256","125","14,319","569","816","1,222","917","388","97","38","319","844","656","804","1,114","1,402","1,011","1,076","419","496","378","414","533","376","192","238"
"    Margin of Error","±1,028","±634","±113","±165","±220","±176","±133","±59","±90","±98","±187","±149","±169","±176","±192","±159","±200","±102","±134","±78","±94","±129","±107","±106","±65","±618","±152","±135","±218","±224","±168","±67","±36","±107","±190","±192","±158","±160","±228","±207","±223","±137","±128","±104","±99","±136","±114","±79","±75"
"ZCTA5 78747","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","20,137","10,218","515","634","696","467","125","203","102","481","931","980","803","804","1,039","327","619","196","343","70","330","249","146","38","120","9,919","661","924","493","400","210","35","33","287","771","889","686","750","856","418","607","207","359","225","358","334","130","96","190"
"    Margin of Error","±1,142","±799","±185","±216","±190","±200","±81","±178","±69","±231","±347","±241","±261","±248","±423","±151","±270","±111","±154","±51","±158","±105","±78","±35","±77","±731","±241","±272","±174","±182","±127","±46","±34","±138","±313","±218","±214","±242","±369","±191","±226","±104","±182","±136","±167","±136","±65","±63","±83"
"ZCTA5 78748","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","52,076","25,920","2,420","1,501","1,086","784","275","216","261","912","2,144","3,473","2,700","2,167","1,813","1,221","1,365","806","534","502","528","432","439","175","166","26,156","1,808","1,501","1,161","911","391","148","30","918","3,265","2,539","2,917","1,905","1,788","1,370","1,735","618","596","463","604","790","348","118","232"
"    Margin of Error","±2,931","±2,081","±654","±572","±265","±291","±106","±126","±135","±332","±550","±1,402","±496","±493","±368","±432","±350","±311","±204","±158","±145","±131","±188","±110","±180","±1,731","±603","±316","±365","±254","±203","±94","±37","±315","±663","±728","±569","±369","±424","±347","±427","±205","±170","±124","±187","±200","±140","±56","±130"
"ZCTA5 78749","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","38,503","18,347","951","1,205","1,124","628","353","132","139","455","852","2,070","1,561","1,644","1,320","1,707","933","437","757","314","809","459","315","145","37","20,156","936","1,113","1,539","444","173","167","67","528","1,450","1,480","1,518","1,494","1,432","1,789","1,594","445","1,224","513","801","715","277","152","305"
"    Margin of Error","±2,252","±1,259","±329","±234","±311","±251","±157","±94","±100","±272","±218","±591","±404","±308","±337","±467","±225","±267","±187","±137","±331","±167","±153","±98","±38","±1,320","±262","±288","±519","±207","±115","±112","±79","±172","±404","±326","±384","±339","±436","±456","±461","±196","±475","±184","±292","±256","±111","±70","±151"
"ZCTA5 78750","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","33,860","16,817","731","1,253","1,513","703","209","117","27","446","1,361","1,634","1,526","1,556","1,180","730","1,102","254","400","365","408","610","362","114","216","17,043","1,166","992","1,166","522","170","69","182","424","1,050","1,436","1,322","1,435","1,220","1,302","1,088","382","565","399","677","573","414","247","242"
"    Margin of Error","±2,270","±1,301","±213","±334","±671","±215","±116","±94","±33","±178","±427","±336","±613","±368","±295","±154","±273","±105","±130","±130","±151","±184","±114","±52","±118","±1,346","±412","±349","±385","±186","±94","±66","±108","±166","±337","±322","±351","±359","±253","±284","±407","±175","±120","±135","±170","±132","±143","±129","±91"
"ZCTA5 78751","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","16,138","8,649","151","103","199","104","71","27","271","906","2,498","1,234","852","536","462","276","232","53","143","97","165","149","35","9","76","7,489","232","50","123","84","107","174","226","833","2,214","1,116","575","306","319","328","267","79","125","22","55","139","68","0","47"
"    Margin of Error","±1,355","±880","±79","±65","±98","±79","±60","±26","±134","±339","±589","±248","±381","±154","±154","±99","±128","±46","±79","±58","±80","±79","±41","±14","±51","±764","±99","±49","±71","±63","±72","±89","±121","±281","±408","±369","±137","±106","±134","±151","±95","±52","±78","±25","±38","±103","±50","±22","±38"
"ZCTA5 78752","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","20,779","11,785","1,107","454","594","459","193","32","346","471","1,885","1,261","1,090","763","561","556","935","109","192","104","192","228","118","82","53","8,994","451","276","337","279","219","19","413","568","1,244","1,148","690","668","576","431","431","43","121","125","174","215","260","230","76"
"    Margin of Error","±1,980","±1,261","±630","±202","±220","±154","±135","±42","±398","±227","±551","±293","±354","±234","±282","±245","±508","±78","±147","±72","±111","±96","±79","±90","±40","±1,182","±211","±129","±234","±124","±104","±22","±286","±211","±364","±327","±278","±234","±240","±353","±132","±45","±87","±97","±132","±169","±164","±152","±51"
"ZCTA5 78753","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","60,035","31,835","2,556","2,254","2,087","976","806","441","416","1,094","3,634","4,380","2,649","3,119","1,645","1,483","1,688","289","658","175","339","652","271","35","188","28,200","1,905","2,090","2,353","883","512","243","307","1,015","2,702","3,158","2,362","1,964","1,595","1,623","1,428","453","971","587","537","568","463","210","271"
"    Margin of Error","±3,164","±1,977","±462","±508","±548","±292","±244","±230","±181","±289","±742","±697","±516","±735","±371","±385","±383","±125","±265","±121","±202","±216","±139","±25","±77","±1,717","±433","±440","±536","±335","±222","±155","±191","±246","±485","±727","±440","±465","±426","±339","±343","±219","±442","±252","±186","±180","±209","±88","±103"
"ZCTA5 78754","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","26,508","13,237","1,277","1,246","1,004","180","177","94","92","560","1,038","1,376","1,727","1,117","595","656","419","242","302","67","528","177","78","188","97","13,271","1,201","816","514","683","200","141","58","715","1,465","1,423","1,061","1,186","651","735","510","275","342","332","165","253","282","29","234"
"    Margin of Error","±2,497","±1,594","±417","±364","±418","±76","±112","±84","±85","±310","±295","±409","±553","±358","±241","±209","±149","±151","±126","±53","±507","±105","±57","±135","±74","±1,329","±408","±293","±238","±297","±98","±128","±70","±301","±461","±280","±315","±396","±236","±223","±217","±136","±151","±273","±95","±150","±188","±46","±303"
"ZCTA5 78756","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","9,450","4,558","188","68","155","54","247","72","28","134","546","814","618","374","319","174","165","70","113","140","30","151","62","9","27","4,892","92","259","179","85","170","42","45","176","863","698","420","236","279","255","246","212","91","57","67","79","127","29","185"
"    Margin of Error","±1,124","±736","±69","±40","±70","±31","±111","±56","±46","±70","±204","±254","±435","±120","±105","±80","±70","±46","±66","±137","±29","±73","±44","±14","±19","±652","±58","±118","±83","±47","±76","±41","±37","±106","±479","±241","±113","±108","±79","±99","±135","±124","±43","±40","±42","±40","±84","±27","±105"
"ZCTA5 78757","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","26,485","12,514","1,020","580","728","378","67","109","204","203","1,022","1,328","1,471","946","1,232","733","720","228","423","238","309","312","116","75","72","13,971","643","817","1,169","667","141","36","36","266","1,226","1,573","1,253","849","859","856","445","463","623","239","302","351","218","372","567"
"    Margin of Error","±2,406","±1,068","±291","±166","±425","±179","±45","±89","±149","±102","±323","±310","±336","±229","±331","±231","±290","±166","±165","±118","±155","±130","±61","±63","±54","±1,614","±171","±207","±486","±388","±108","±41","±58","±125","±313","±355","±229","±238","±287","±417","±186","±162","±330","±127","±244","±120","±115","±143","±450"
"ZCTA5 78758","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","50,575","25,176","1,950","989","1,246","758","548","89","157","1,374","3,214","3,957","2,376","1,684","1,270","1,683","1,357","532","571","250","352","310","237","157","115","25,399","2,273","1,709","1,580","521","492","125","155","1,346","3,331","3,299","1,910","1,931","1,188","1,177","1,041","426","656","404","388","648","316","168","315"
"    Margin of Error","±3,125","±1,682","±576","±315","±364","±408","±287","±65","±102","±431","±589","±574","±449","±440","±271","±401","±373","±150","±280","±105","±143","±107","±86","±83","±69","±2,060","±571","±580","±445","±189","±218","±115","±69","±433","±592","±538","±486","±446","±250","±475","±280","±214","±197","±156","±157","±196","±107","±74","±145"
"ZCTA5 78759","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","45,901","23,282","1,567","1,156","1,234","693","533","136","102","918","2,004","2,315","1,976","1,545","1,928","1,718","1,514","243","653","410","593","682","595","366","401","22,619","1,073","1,041","954","498","161","61","39","958","2,195","2,868","1,923","1,435","1,430","1,588","1,524","463","764","413","605","934","657","359","676"
"    Margin of Error","±2,097","±1,345","±357","±263","±262","±186","±214","±119","±76","±332","±447","±466","±400","±311","±428","±476","±257","±86","±188","±151","±234","±155","±298","±160","±143","±1,097","±319","±284","±226","±133","±83","±43","±39","±289","±406","±531","±427","±284","±323","±304","±271","±125","±193","±138","±218","±245","±185","±112","±220"
"Travis County, Texas","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","1,250,884","631,786","39,799","37,462","39,406","21,514","16,206","8,349","7,899","25,090","65,451","65,236","55,810","48,371","44,285","37,497","34,932","12,201","16,681","8,986","13,575","15,075","8,618","4,786","4,557","619,098","37,921","35,653","37,777","21,111","16,030","8,027","8,032","24,682","61,486","59,632","50,400","46,097","41,783","36,377","34,327","13,387","18,927","10,551","13,902","17,537","10,314","6,072","9,073"
"    Margin of Error","*****","±92","±90","±1,534","±1,516","±68","±114","±890","±803","±936","±69","±88","±1,690","±1,689","±119","±18","±1,278","±1,011","±1,102","±691","±871","±878","±574","±448","±463","±92","±85","±1,394","±1,394","±79","±45","±722","±731","±950","±64","±55","±1,718","±1,702","±93","±46","±1,176","±942","±1,055","±815","±822","±894","±686","±483","±690"
